Stanje, Trajanje_u_min
0,14
2,1
1,9
2,15
0,12
2,11
1,8
2,4
1,22
2,3
1,1
2,4
1,56
2,6
1,4
2,16
0,26
2,1
1,5
2,12
1,11
2,25
1,28
2,1
0,1
2,3
1,41
2,6
1,67
2,23
1,51
2,11
0,70
2,0
1,2
2,7
1,5
2,2
0,0
1,62
2,8
1,1
2,5
0,7
2,8
0,5
2,1
0,34
2,16
0,1
2,14
1,1
0,37
1,19
2,5
1,26
2,6
0,38
2,11
1,10
2,7
0,7
2,8
0,18
1,28
2,16
0,51
2,20
0,10
2,26
1,47
2,0
1,16
2,10
1,6
0,29
2,6
1,6
2,42
0,33
1,13
2,4
1,23
0,16
2,2
1,45
2,58
0,25
1,45
2,0
0,47
1,7
2,8
0,12
2,5
0,0
2,7
0,61
2,14
1,6
2,1
1,2
2,7
1,14
2,1
1,3
2,0
1,7
2,3
1,9
2,9
0,74
2,6
1,0
2,5
1,21
2,36
1,37
2,13
1,45
2,11
0,13
2,13
1,44
2,12
0,16
1,32
2,1
1,9
2,19
1,2
2,8
0,34
2,29
1,37
2,5
0,49
2,6
1,6
2,31
1,40
2,9
1,21
2,3
1,29
2,3
1,5
2,1
1,16
0,16
2,23
0,17
2,5
0,21
2,17
0,74
1,4
2,2
1,3
2,14
1,12
2,22
1,5
0,17
2,10
1,9
2,7
1,4
2,20
1,1
2,0
1,10
2,1
1,41
2,23
1,24
2,3
0,37
2,3
1,20
2,7
0,4
2,9
0,44
2,15
1,28
2,17
0,38
2,2
1,3
2,12
0,47
2,0
0,34
2,14
0,7
2,29
1,8
2,1
1,17
