Stanje,Trajanje_u_min
0,26.4064
1,14.5348
2,56.5793
1,6.3477
2,3.8345
1,8.0397
2,9.8913
0,17.7252
1,19.8012
2,1.3503
1,16.0668
2,2.6835
1,21.4088
0,23.6521
2,0.4843
0,5.8798
2,5.4869
1,45.0583
2,12.9832
0,152.6825
1,36.2262
2,14.0185
1,0.9251
2,20.0875
0,4.7154
2,19.4408
0,3.0632
2,10.2086
1,7.831
2,0.7323
0,5.618
1,0.9282
2,11.2887
0,53.7089
2,27.8606
0,3.6661
2,35.1523
0,33.2123
2,13.541
1,15.4686
2,2.8673
0,83.1947
1,20.7314
2,19.8264
1,16.5633
2,46.0382
1,7.3843
2,45.2777
0,2.6437
1,75.9911
2,9.5552
0,6.9843
1,42.2742
2,13.9686
1,44.1098
2,15.8804
0,1.6278
2,1.3778
0,44.0367
2,14.7215
0,42.4204
2,5.7769
1,75.2279
2,18.9978
1,2.214
2,3.5492
1,7.9902
2,6.1155
1,12.1713
2,2.9941
1,0.2809
2,11.5767
0,11.6792
2,6.1907
1,35.2768
2,8.3114
1,5.6732
2,1.1796
1,0.7185
0,53.1383
2,16.5746
0,4.406
1,33.3435
0,29.828
2,29.4108
0,4.352
1,6.1067
2,14.1624
0,58.0017
2,7.1967
1,35.877
2,3.6925
0,21.3794
2,15.7756
1,0.5728
2,35.3579
1,19.8986
2,24.4916
1,19.8197
2,4.0245
